Linux 6.18.12+kali-amd64 (kali) 	06/04/2026 	_x86_64_	(4 CPU)

06:24:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:26:55 AM     0    180443    0.50    5.00    0.00    0.50    5.50     0  dns-firewall
06:26:57 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:26:59 AM     0    180443    0.00    4.50    0.00    0.00    4.50     0  dns-firewall
06:27:01 AM     0    180443    0.50    4.98    0.00    0.50    5.47     1  dns-firewall
06:27:03 AM     0    180443    0.50    4.50    0.00    0.00    5.00     1  dns-firewall
06:27:05 AM     0    180443    0.50    5.00    0.00    0.50    5.50     3  dns-firewall
06:27:07 AM     0    180443    0.00    5.00    0.00    0.00    5.00     2  dns-firewall
06:27:09 AM     0    180443    0.00    5.00    0.00    0.00    5.00     3  dns-firewall
06:27:11 AM     0    180443    0.00    5.50    0.00    0.00    5.50     3  dns-firewall
06:27:13 AM     0    180443    0.00    5.50    0.00    0.00    5.50     2  dns-firewall
06:27:15 AM     0    180443    0.00    5.50    0.00    0.00    5.50     3  dns-firewall
06:27:17 AM     0    180443    0.00    5.50    0.00    0.00    5.50     3  dns-firewall
06:27:19 AM     0    180443    0.00    5.50    0.00    0.00    5.50     3  dns-firewall
06:27:21 AM     0    180443    0.00    5.50    0.00    0.50    5.50     3  dns-firewall
06:27:23 AM     0    180443    0.00    5.50    0.00    0.00    5.50     2  dns-firewall
06:27:25 AM     0    180443    0.00    5.50    0.00    0.00    5.50     2  dns-firewall
06:27:27 AM     0    180443    0.00    5.50    0.00    0.00    5.50     2  dns-firewall
06:27:29 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:27:31 AM     0    180443    0.00    4.50    0.00    0.50    4.50     2  dns-firewall
06:27:33 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:27:35 AM     0    180443    0.00    4.50    0.00    0.00    4.50     2  dns-firewall
06:27:37 AM     0    180443    0.50    4.50    0.00    0.00    5.00     2  dns-firewall
06:27:39 AM     0    180443    0.50    5.00    0.00    0.00    5.50     3  dns-firewall
06:27:41 AM     0    180443    0.00    4.50    0.00    0.00    4.50     3  dns-firewall
06:27:43 AM     0    180443    0.00    4.50    0.00    0.00    4.50     2  dns-firewall
06:27:45 AM     0    180443    0.00    5.00    0.00    0.00    5.00     2  dns-firewall
