Threshold,Benign_Blocked,Benign_Total,FPR(%),DGA_Blocked,DGA_Total,DR(%)
0.1,430,500,86.00,1000,1000,100.00
0.2,277,500,55.40,1000,1000,100.00
0.3,39,500,7.80,995,1000,99.50
0.4,1,500,0.20,925,1000,92.50
0.5,0,500,0.00,552,1000,55.20
0.6,0,500,0.00,67,1000,6.70
0.7,0,500,0.00,0,1000,0.00
0.8,0,500,0.00,0,1000,0.00
0.9,0,500,0.00,0,1000,0.00
